scan_timestamp,sport,game_label,team,book_fair_prob,kalshi_price,entry_price,raw_edge,fee_cost,spread_cost,net_edge,side,kalshi_ticker,outcome
2026-09-05T19:18:52.225645+00:00,nfl,Miami Dolphins @ Indianapolis Colts,Indianapolis Colts,0.8048,0.375,0.38,0.4298,0.0165,0.005,0.4083,buy_yes,KXNFLGAME-26SEP13BALIND-IND,
2026-09-05T19:18:52.225701+00:00,nfl,Jacksonville Jaguars @ Tennessee Titans,Tennessee Titans,0.4261,0.525,0.48,-0.0989,0.0175,0.005,0.0764,buy_no,KXNFLGAME-26SEP13NYJTEN-TEN,
2026-09-05T19:18:52.225759+00:00,nfl,Los Angeles Rams @ Arizona Cardinals,Arizona Cardinals,0.1163,0.185,0.82,-0.0687,0.0104,0.005,0.0533,buy_no,KXNFLGAME-26SEP13ARILAC-ARI,
2026-09-05T19:18:52.225882+00:00,nfl,Pittsburgh Steelers @ Cincinnati Bengals,Cincinnati Bengals,0.6856,0.655,0.66,0.0306,0.0158,0.005,0.0098,buy_yes,KXNFLGAME-26SEP13TBCIN-CIN,
2026-09-05T19:18:52.225935+00:00,nfl,Los Angeles Chargers @ Baltimore Ravens,Baltimore Ravens,0.6656,0.635,0.64,0.0306,0.0162,0.005,0.0094,buy_yes,KXNFLGAME-26SEP13BALIND-BAL,
2026-09-05T19:18:52.225987+00:00,nfl,Indianapolis Colts @ Houston Texans,Houston Texans,0.7521,0.505,0.51,0.2471,0.0175,0.005,0.2246,buy_yes,KXNFLGAME-26SEP13BUFHOU-HOU,
2026-09-05T19:18:52.226076+00:00,nfl,Baltimore Ravens @ Carolina Panthers,Carolina Panthers,0.2956,0.405,0.6,-0.1094,0.0169,0.005,0.0875,buy_no,KXNFLGAME-26SEP13CHICAR-CAR,
2026-09-05T19:18:52.226131+00:00,nfl,Miami Dolphins @ Buffalo Bills,Buffalo Bills,0.9225,0.495,0.5,0.4275,0.0176,0.005,0.4049,buy_yes,KXNFLGAME-26SEP13BUFHOU-BUF,
2026-09-05T19:18:52.226186+00:00,nfl,New Orleans Saints @ Chicago Bears,Chicago Bears,0.7836,0.585,0.59,0.1986,0.017,0.005,0.1766,buy_yes,KXNFLGAME-26SEP13CHICAR-CHI,
2026-09-05T19:18:52.226275+00:00,nfl,Tampa Bay Buccaneers @ Detroit Lions,Detroit Lions,0.7299,0.745,0.26,-0.0151,0.0135,0.005,-0.0034,buy_no,KXNFLGAME-26SEP13NODET-DET,
